"A crop cannot be rendered as %1; use one of: %2.","A crop cannot be rendered as %1; use one of: %2."
"Breakpoint ""%1"": %2","Breakpoint ""%1"": %2"
"Breakpoint %1 belongs to another slider than banner %2.","Breakpoint %1 belongs to another slider than banner %2."
"Breakpoint %1 does not belong to the slider of this banner.","Breakpoint %1 does not belong to the slider of this banner."
"Choose at least one customer group for the slider, or all customer groups.","Choose at least one customer group for the slider, or all customer groups."
"Choose at least one store view for the slider.","Choose at least one store view for the slider."
"Choose the banner the crop belongs to.","Choose the banner the crop belongs to."
"Choose the breakpoint the crop is made for.","Choose the breakpoint the crop is made for."
"Choose the slider the banner belongs to.","Choose the slider the banner belongs to."
"Choose the slider the breakpoint belongs to.","Choose the slider the breakpoint belongs to."
"Custom HTML","Custom HTML"
"Disabled","Disabled"
"Enabled","Enabled"
"Enter a video URL or upload a video file for the video banner.","Enter a video URL or upload a video file for the video banner."
"Enter the breakpoint name.","Enter the breakpoint name."
"Enter the content of the custom banner.","Enter the content of the custom banner."
"Enter the media query of breakpoint ""%1"".","Enter the media query of breakpoint ""%1""."
"Enter the slider name.","Enter the slider name."
"Fade","Fade"
"GD could not decode the source image.","GD could not decode the source image."
"GD could not encode the image as %1.","GD could not encode the image as %1."
"Image","Image"
"Imagick could not encode the image as %1.","Imagick could not encode the image as %1."
"More than one breakpoint uses the identifier ""%1"".","More than one breakpoint uses the identifier ""%1""."
"More than one crop is given for breakpoint %1.","More than one crop is given for breakpoint %1."
"No file was uploaded.","No file was uploaded."
"No video provider can play ""%1"". Enter a supported video URL or upload a video file.","No video provider can play ""%1"". Enter a supported video URL or upload a video file."
"Set the crop area of the enabled crop for breakpoint %1.","Set the crop area of the enabled crop for breakpoint %1."
"Slide","Slide"
"Some crops of banner %1 could not be regenerated: %2","Some crops of banner %1 could not be regenerated: %2"
"The %1 crop file for breakpoint ""%2"" could not be stored.","The %1 crop file for breakpoint ""%2"" could not be stored."
"The %1 crop file for breakpoint ""%2"" was not produced.","The %1 crop file for breakpoint ""%2"" was not produced."
"The %1 encoder could not encode the image as %2.","The %1 encoder could not encode the image as %2."
"The %1 encoder is not installed on this server.","The %1 encoder is not installed on this server."
"The %1 image supplied for breakpoint ""%2"" cannot be decoded.","The %1 image supplied for breakpoint ""%2"" cannot be decoded."
"The %1 image supplied for breakpoint ""%2"" is %3x%4 pixels; the breakpoint needs %5x%6.","The %1 image supplied for breakpoint ""%2"" is %3x%4 pixels; the breakpoint needs %5x%6."
"The %1 image supplied for breakpoint ""%2"" is larger than %3 bytes.","The %1 image supplied for breakpoint ""%2"" is larger than %3 bytes."
"The banner could not be deleted.","The banner could not be deleted."
"The banner could not be saved.","The banner could not be saved."
"The banner image ""%1"" cannot be used: %2","The banner image ""%1"" cannot be used: %2"
"The banner image ""%1"" is not an image uploaded for the banner slider. Upload the image instead.","The banner image ""%1"" is not an image uploaded for the banner slider. Upload the image instead."
"The banner is not valid: %1","The banner is not valid: %1"
"The banner with id ""%1"" does not exist.","The banner with id ""%1"" does not exist."
"The breakpoint ""%1"" could not be deleted.","The breakpoint ""%1"" could not be deleted."
"The breakpoint could not be deleted.","The breakpoint could not be deleted."
"The breakpoint could not be saved.","The breakpoint could not be saved."
"The breakpoint identifier ""%1"" must be 1-50 lowercase letters, digits, ""_"" or ""-"", starting with a letter or digit.","The breakpoint identifier ""%1"" must be 1-50 lowercase letters, digits, ""_"" or ""-"", starting with a letter or digit."
"The breakpoint is not valid: %1","The breakpoint is not valid: %1"
"The breakpoint target width and height must be greater than 0.","The breakpoint target width and height must be greater than 0."
"The breakpoint with id ""%1"" does not belong to this slider.","The breakpoint with id ""%1"" does not belong to this slider."
"The breakpoint with id ""%1"" does not exist.","The breakpoint with id ""%1"" does not exist."
"The breakpoint with id ""%1"" is listed more than once.","The breakpoint with id ""%1"" is listed more than once."
"The crop area %1x%2 at %3,%4 for breakpoint ""%5"" does not fit inside the %6x%7 source image.","The crop area %1x%2 at %3,%4 for breakpoint ""%5"" does not fit inside the %6x%7 source image."
"The crop area %1x%2 at %3,%4 for the %5x%6 breakpoint does not fit inside the %7x%8 source image.","The crop area %1x%2 at %3,%4 for the %5x%6 breakpoint does not fit inside the %7x%8 source image."
"The crop could not be deleted.","The crop could not be deleted."
"The crop could not be saved.","The crop could not be saved."
"The crop file for breakpoint ""%1"" cannot be stored: its name is taken by another file.","The crop file for breakpoint ""%1"" cannot be stored: its name is taken by another file."
"The crop files of a banner cannot be written before it is saved.","The crop files of a banner cannot be written before it is saved."
"The crop for breakpoint ""%1"" asks for the format ""%2"", which is not an available variant format.","The crop for breakpoint ""%1"" asks for the format ""%2"", which is not an available variant format."
"The crop for breakpoint ""%1"" cannot be produced as %2: the supplied image was rejected (%3) and this server has no encoder for the format.","The crop for breakpoint ""%1"" cannot be produced as %2: the supplied image was rejected (%3) and this server has no encoder for the format."
"The crop for breakpoint ""%1"" cannot be produced as %2: this server has no encoder for the format. Untick the format or install an encoder.","The crop for breakpoint ""%1"" cannot be produced as %2: this server has no encoder for the format. Untick the format or install an encoder."
"The crop for breakpoint ""%1"" cannot use its image: %2","The crop for breakpoint ""%1"" cannot use its image: %2"
"The crop for breakpoint ""%1"" could not be deleted.","The crop for breakpoint ""%1"" could not be deleted."
"The crop for breakpoint ""%1"" could not be generated: %2","The crop for breakpoint ""%1"" could not be generated: %2"
"The crop for breakpoint ""%1"" has no image to cut: the banner has no image.","The crop for breakpoint ""%1"" has no image to cut: the banner has no image."
"The crop for breakpoint ""%1"" has no source image.","The crop for breakpoint ""%1"" has no source image."
"The crop for breakpoint ""%1"" may not use the image ""%2"". Use the banner image or upload an image.","The crop for breakpoint ""%1"" may not use the image ""%2"". Use the banner image or upload an image."
"The crop for breakpoint ""%1"" needs a crop area.","The crop for breakpoint ""%1"" needs a crop area."
"The crop for breakpoint %1 asks for the format ""%2"", which is not an available variant format.","The crop for breakpoint %1 asks for the format ""%2"", which is not an available variant format."
"The crop for breakpoint %1 that no longer applies could not be deleted.","The crop for breakpoint %1 that no longer applies could not be deleted."
"The crop for the %1x%2 breakpoint could not be rendered.","The crop for the %1x%2 breakpoint could not be rendered."
"The crop is not valid: %1","The crop is not valid: %1"
"The crop source is not an image in a supported format.","The crop source is not an image in a supported format."
"The crop with id ""%1"" does not exist.","The crop with id ""%1"" does not exist."
"The crops of a banner cannot be saved before the banner is.","The crops of a banner cannot be saved before the banner is."
"The encoder reported success but wrote an empty file.","The encoder reported success but wrote an empty file."
"The encoder reported success but wrote no file.","The encoder reported success but wrote no file."
"The file ""%1"" is not a readable image.","The file ""%1"" is not a readable image."
"The file could not be uploaded (error code %1).","The file could not be uploaded (error code %1)."
"The file is %1 MB, larger than the %2 MB the store accepts.","The file is %1 MB, larger than the %2 MB the store accepts."
"The file is larger than the server accepts.","The file is larger than the server accepts."
"The file is not a readable image.","The file is not a readable image."
"The file type is not accepted. Accepted types: %1.","The file type is not accepted. Accepted types: %1."
"The file was not received as an upload.","The file was not received as an upload."
"The file was only partly uploaded. Please try again.","The file was only partly uploaded. Please try again."
"The image ""%1"" cannot be read.","The image ""%1"" cannot be read."
"The image ""%1"" is %2x%3 pixels, more than the %4 pixels images may have here.","The image ""%1"" is %2x%3 pixels, more than the %4 pixels images may have here."
"The image ""%1"" is in an unsupported format (%2).","The image ""%1"" is in an unsupported format (%2)."
"The image could not be encoded as %1.","The image could not be encoded as %1."
"The image is %1x%2 pixels, more than the %3 pixels images may have here.","The image is %1x%2 pixels, more than the %3 pixels images may have here."
"The image is %1x%2 pixels; images may have at most %3 pixels.","The image is %1x%2 pixels; images may have at most %3 pixels."
"The image supplied for breakpoint ""%1"" as %2 is really of type ""%3"".","The image supplied for breakpoint ""%1"" as %2 is really of type ""%3""."
"The image supplied for breakpoint ""%1"" declares the unknown format ""%2"".","The image supplied for breakpoint ""%1"" declares the unknown format ""%2""."
"The media file ""%1"" does not exist.","The media file ""%1"" does not exist."
"The modification time of the media file ""%1"" cannot be read.","The modification time of the media file ""%1"" cannot be read."
"The size of the media file ""%1"" cannot be read.","The size of the media file ""%1"" cannot be read."
"The slider already has a breakpoint with the identifier ""%1"".","The slider already has a breakpoint with the identifier ""%1""."
"The slider breakpoints are not valid: %1","The slider breakpoints are not valid: %1"
"The slider could not be deleted.","The slider could not be deleted."
"The slider could not be saved.","The slider could not be saved."
"The slider is not valid: %1","The slider is not valid: %1"
"The slider with id ""%1"" does not exist.","The slider with id ""%1"" does not exist."
"The source image could not be read for encoding.","The source image could not be read for encoding."
"The target height of breakpoint ""%1"" must be at most %2 pixels.","The target height of breakpoint ""%1"" must be at most %2 pixels."
"The target width of breakpoint ""%1"" must be at most %2 pixels.","The target width of breakpoint ""%1"" must be at most %2 pixels."
"The target width of breakpoint ""%1"" must be greater than 0.","The target width of breakpoint ""%1"" must be greater than 0."
"The uploaded file cannot be read.","The uploaded file cannot be read."
"The uploaded file could not be stored.","The uploaded file could not be stored."
"The uploaded file is empty.","The uploaded file is empty."
"The uploaded image could not be read.","The uploaded image could not be read."
"The uploaded image could not be turned upright.","The uploaded image could not be turned upright."
"Upload or choose an image for the image banner.","Upload or choose an image for the image banner."
"Video","Video"
"breakpoint %1: %2","breakpoint %1: %2"
